Match,	Date,	Vs,	Ground,	How Dismissed,	Runs,	Aggr,	Avg,	B/F,	S/R
1,	18/04/2008,	Kolkata Knight Riders,	M Chinnaswamy Stadium,	b A Dinda,	1	1	1.00	5	20.00
2,	20/04/2008,	Mumbai Indians,	Wankhede Stadium,	c L Ronchi b A Nehra,	23	24	12.00	14	126.32
3,	26/04/2008,	Rajasthan Royals,	M Chinnaswamy Stadium,	c M Rawat b M Patel,	13	37	12.33	14	112.12
4,	28/04/2008,	Chennai Super Kings,	M Chinnaswamy Stadium,	b J Morkel,	12	49	12.25	7	122.50
5,	30/04/2008,	Delhi Capitals,	Arun Jaitley Stadium,	not out,	1*	50	12.50	1	121.95
6,	03/05/2008,	Deccan Chargers,	M Chinnaswamy Stadium,	c S Bangar b R Singh,	38	88	17.60	29	125.71
7,	05/05/2008,	Kings XI Punjab,	M Chinnaswamy Stadium,	c S Sreesanth b I Pathan,	34	122	20.33	36,	115.09
8,	08/05/2008,	Kolkata Knight Riders,	Eden Gardens,	 	DNB,	122	20.33		
9,	12/05/2008,	Kings XI Punjab	Punjab, Cricket Association, IS Bindra Stadium	b P Chawla,	21,	143,	20.43,	22,	111.72
10,	17/05/2008,	Rajasthan Royals,	Sawai Mansingh Stadium,	b Sohail Tanvir,	3,	146,	18.25,	7,	108.15
11,	21/05/2008,Chennai Super Kings,	MA Chidambaram Stadium,	c J Morkel b M Muralitharan,	10,	156,	17.33,	16,	103.31
12,	25/05/2008,	Deccan Chargers,	Rajiv Gandhi International Stadium,	c D Ravi Teja b W Vaas,	9,	165,	16.50,	5,	105.77
13,	28/05/2008,	Mumbai Indians,	M Chinnaswamy Stadium,	c Y Takawale b A Nehra,	0,	165,	15.00,	1,	105.10


http://www.howstat.com/cricket/Statistics/IPL/PlayerProgressBat.asp?PlayerId=4137&Series=0012
